,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
0,0.8503023626519957,0.2320884277477574,0.0034528491477686,0.0392137561660641,0.1527040001882567,-0.3163525001342653,-0.9581243338578318,-0.0414652221614636,0.0790596985163604,0.4886919530088314
1,0.4953925504160529,0.4840942694516509,0.7804487939837299,0.5778168711905428,0.9387915673863144,1.1086082878551244,0.251150924931173,-0.0837681633437267,0.655724660497304,0.8726308242660209
2,0.8069436799584925,0.8529924387404002,1.328407241247615,1.0795748600466508,1.2149364094934063,1.2714817952060489,1.2242193232790253,0.8783863821136159,1.2760664377275288,1.5174207434811455
3,0.8451294352243331,1.864286031219305,1.5226713638371856,0.7898606677780153,1.412790625274662,1.3616399290249106,1.6115409883581724,1.2190043412612903,1.5860587965000386,1.7850003501853466
4,1.9911724354947395,1.5137480337529123,1.6333690070586218,1.772472455485236,2.119147761158522,1.4744515734255172,1.970764101732976,1.940201440596204,2.155458709081506,2.087984734784782
5,2.7531895157526813,1.7173836464916492,1.3830593259893558,1.950345399707503,1.723940659597352,1.6564809479804878,1.263581052856653,2.193116524020078,1.6547017167985332,2.5832548736813155
6,1.9493740820841503,1.8095123849675503,1.526726428712163,1.5202966610158497,2.0201900250531315,2.371932448911287,1.8726167797644384,2.1099007810567936,1.8235832076277363,1.6071995644073225
7,1.9299980371645225,2.3894420299117045,1.838132403286563,1.896100811525868,1.794274777899263,1.660840836701519,1.6401632135888269,2.7880914271541117,2.1853356493694918,1.9202923104128533
8,1.356819930605654,1.6516023989937234,2.0176043136225443,1.7726753423209336,1.382718752743078,2.3630580657610394,1.8104931611590664,1.9126916680494677,1.9802305379697764,1.4667151356166896
9,1.832663477902008,1.8354353983212737,1.3922193958034943,1.9972377519967397,1.0601061152538689,2.0449143413705384,1.0707990934063376,1.8380817214609064,2.1640770981666413,2.047509266373862
10,0.8107750974509091,1.3918800394682274,2.0078205262228046,1.3202918908195675,0.9470110092069508,1.4024603670261055,1.6794079879495831,1.768961750396881,1.1510853048319385,1.2132060838739454
11,0.6499403171968783,0.4222374102602025,-0.3322323609771003,1.6758719792847214,0.0893664126750517,0.9243216425375548,0.8544280472115476,1.115761996605305,1.0903578020580815,0.7398259830401024
12,-0.1905964463387941,-0.559357018225083,0.2878300128748973,0.1644810295993675,0.3121741776827468,0.2098403358756237,0.2795447068144169,0.0135840158944627,0.7224733331611148,0.3188410255789941
13,-0.2261559665809896,-0.4230482253565071,-0.073186701112508,0.1098567255869886,0.204157845793075,-0.4685956456456929,-0.2411152018576639,-0.4610510652291102,-0.272182035902371,-0.1269927064459677
14,-0.692710120722954,-1.3914033574963476,0.0802752390464236,-0.7133030861288807,-0.8350493855933803,-1.2266061125599297,-1.151980379311931,-0.366385680841763,-0.1672365946258401,-1.4771662980757916
15,-1.6266423832165444,-1.0145289583932406,-1.4065062951416063,-1.3182921853824874,-1.5729850815451465,-1.7186786253798183,-1.2305064029298056,-2.088598284656068,-2.076974319944514,-0.5925268935311391
16,-2.025152539526711,-1.427120203218058,-1.6430172452566545,-0.8576068722996975,-0.6680912311185372,-1.773535114173101,-1.2758989998336625,-1.669886170988847,-1.4358933537091734,-2.054927596891663
17,-1.4354271408996635,-1.4116125191391136,-2.428418113508802,-1.0537071924658146,-1.894211402736162,-1.959150771458373,-1.5631504242777727,-2.05775374442524,-1.638576767346572,-2.1792107745747686
18,-1.8870927736726648,-1.641282948159439,-1.6568265457909686,-1.4790360550277453,-2.112388191089024,-1.2933324075909345,-2.547495381079999,-2.384432944045449,-2.373936706353753,-1.7325824901933118
19,-1.4970303875860385,-2.181885965050134,-1.2837657111318763,-2.132471438156297,-2.5089853526280272,-1.7078276487318682,-2.3128861495628223,-2.215101452534122,-1.6895242528857428,-2.7161210021645337
20,-1.3445272123685694,-1.4832060842637145,-1.5254009724928743,-1.7883559807724514,-2.0514871580388907,-2.6434327424024806,-2.087744801511802,-2.037870654307376,-2.09528317074819,-2.139108640085585
21,-1.2736279360779406,-2.513023953822059,-1.8862278043145952,-2.0908687056977406,-1.1015790897290576,-1.342309691125486,-1.5555393208378374,-2.3212628796831094,-1.6629311401378783,-1.4536493489660387
22,-1.581079390545952,-1.2606618787712935,-0.9966191067931356,-1.2436852560462857,-0.976396361255108,-1.710273281774067,-1.5514833447785574,-1.7220080797099566,-1.175408044546925,-0.6332537720533076
23,-0.8218208965266895,-1.7527252275014416,-0.983377658784642,-1.4548716679085736,-0.5519467459379351,-1.6078378513007046,-1.232957328326092,-0.2034969363001942,-1.0376885072131783,-0.8336487287661617
24,-1.0195378318458044,-0.8393854425599174,-0.5072484420264471,-0.4747358077218478,-0.4173996346416477,-0.9697882865733212,-0.109107376683715,0.1596692417517785,-0.8864845456332682,-0.2127750475742297
25,0.3026471774464863,0.1325498510081385,-0.5142732319583158,-0.0324068199123204,0.0070671324494243,0.1303062689003402,-0.1633505518780578,0.5399410368967787,-0.5365727448938996,-0.3614222899003985
26,0.5492828885714895,0.5287330713156566,0.2811793579159253,0.9492778444775865,0.7989987756754593,0.5796864803796282,0.9953664906821462,1.1552538444366314,0.7210523591339958,0.3440181723239871
27,0.9777986666389686,0.8507127238580428,0.6673398854179295,1.2271880540491311,1.4452731142879578,1.114735402442563,1.001395321595198,1.2449577521824202,1.5237749020141471,1.1941126624995126
28,1.851247459781088,1.1566480184269672,2.0642367048776658,1.5763307019305255,1.7043438642310331,0.9801363053306972,0.8929950523629349,1.464961255629888,1.848803882270124,2.0289134933757054
29,0.9845238157367612,1.9248763699148692,1.4864273075716583,1.709846044220675,1.5916652674414768,1.8309406782748248,1.5615958468827178,1.7054168093296411,1.0625769376722611,1.1768948927318983
